promotion_id,promotion_name,promotion_type,discount_percentage,status,start_date,end_date
1,Black Friday Flash Sale,Brand Promotion,15,Expired,2022-05-17,2022-06-03
2,Black Friday Super Saver,Festival Sale,10,Expired,2021-03-07,2021-03-11
3,Limited Time Electronics,BOGO,50,Upcoming,2025-01-06,2025-02-19
4,Holi Flash Sale,BOGO,15,Upcoming,2025-07-16,2025-07-19
5,Flash Sale Sports,Brand Promotion,10,Upcoming,2025-04-13,2025-05-07
6,Furniture Weekend Deal,Member Exclusive,5,Expired,2024-05-21,2024-06-09
7,Festival Mega Offer,Weekend Sale,60,Expired,2024-02-05,2024-02-26
8,Diwali Beauty Sale,Brand Promotion,25,Expired,2024-09-16,2024-10-03
9,Year End Super Saver,Flash Sale,30,Expired,2022-07-24,2022-08-25
10,Monsoon Flash Sale,Seasonal Offer,10,Active,2024-12-08,2025-01-21
11,Limited Time Fashion,Clearance,35,Expired,2021-12-01,2022-01-02
12,Black Friday Beauty Sale,BOGO,30,Expired,2022-04-15,2022-04-20
13,Furniture Bonanza,Member Exclusive,20,Upcoming,2025-11-30,2025-12-23
14,Back To School Flash Sale,Limited Time,50,Expired,2021-10-13,2021-10-31
15,Summer Super Saver,Limited Time,15,Expired,2023-01-12,2023-01-29
16,Independence Day Mega Offer,BOGO,15,Expired,2021-11-10,2021-12-23
17,Diwali Super Saver,Clearance,50,Expired,2024-05-05,2024-06-06
18,Festival Exclusive,Brand Promotion,30,Upcoming,2025-03-18,2025-04-07
19,Office Supplies Price Drop,Flash Sale,50,Expired,2021-01-07,2021-01-26
20,Beauty Weekend Deal,Limited Time,50,Upcoming,2025-04-11,2025-04-24
21,New Year Home Sale,Festival Sale,25,Expired,2021-08-18,2021-09-13
22,New Year Mega Offer,Limited Time,10,Expired,2021-06-25,2021-07-29
23,Fashion Price Drop,Limited Time,25,Expired,2024-01-31,2024-02-13
24,Year End Exclusive,BOGO,25,Upcoming,2025-03-27,2025-04-11
25,Black Friday Exclusive,Festival Sale,20,Expired,2023-07-14,2023-07-24
26,Home Bonanza,Festival Sale,60,Expired,2024-02-09,2024-02-26
27,Category Discount Furniture,Brand Promotion,30,Expired,2021-05-19,2021-05-24
28,Beauty Price Drop,Seasonal Offer,15,Expired,2022-03-15,2022-04-21
29,Automotive Price Drop,Brand Promotion,20,Upcoming,2025-07-12,2025-08-10
30,Republic Day Super Saver,Brand Promotion,5,Expired,2023-04-22,2023-05-24
31,Holi Exclusive,Flash Sale,35,Expired,2023-07-08,2023-07-19
32,Summer Mega Offer,Category Discount,10,Expired,2023-06-27,2023-08-04
33,Brand Promotion Electronics,Member Exclusive,40,Expired,2021-12-07,2022-01-05
34,Office Supplies Discount Fest,Clearance,35,Expired,2023-02-16,2023-02-19
35,Christmas Super Saver,Flash Sale,40,Active,2024-11-27,2025-01-04
36,Holi Sports Sale,Weekend Sale,5,Expired,2024-04-01,2024-05-08
37,Electronics Price Drop,Category Discount,15,Expired,2023-10-27,2023-12-02
38,Beauty Bonanza,BOGO,10,Expired,2021-03-23,2021-05-04
39,Clearance Home,Clearance,20,Expired,2024-10-03,2024-10-26
40,Furniture Price Drop,Brand Promotion,10,Expired,2024-06-26,2024-08-04
41,Festival Flash Sale,Festival Sale,10,Expired,2021-09-29,2021-10-24
42,Sports Price Drop,Seasonal Offer,25,Upcoming,2025-09-04,2025-10-11
43,Christmas Flash Sale,Clearance,15,Expired,2024-09-20,2024-09-29
44,Furniture Discount Fest,Festival Sale,60,Expired,2022-07-12,2022-08-02
45,Cyber Monday Flash Sale,Category Discount,25,Expired,2023-11-02,2023-12-06
46,Republic Day Office Supplies Sale,Clearance,15,Expired,2021-01-08,2021-02-01
47,Valentine Super Saver,Brand Promotion,10,Expired,2024-02-23,2024-02-26
48,Cyber Monday Fashion Sale,Limited Time,60,Upcoming,2025-09-06,2025-10-02
49,Valentine Office Supplies Sale,Weekend Sale,5,Expired,2022-09-24,2022-10-20
50,Holi Super Saver,BOGO,30,Expired,2021-02-20,2021-03-06
51,Beauty Discount Fest,Category Discount,35,Upcoming,2025-06-01,2025-06-10
52,Festival Sale Automotive,Clearance,30,Upcoming,2025-07-31,2025-09-01
53,Year End Beauty Sale,Weekend Sale,35,Expired,2024-09-13,2024-09-28
54,Office Supplies Weekend Deal,Flash Sale,25,Expired,2021-02-26,2021-03-08
55,Diwali Mega Offer,Weekend Sale,30,Expired,2024-05-06,2024-06-05
56,New Year Super Saver,Seasonal Offer,30,Expired,2021-05-24,2021-07-08
57,Monsoon Exclusive,Weekend Sale,35,Expired,2022-09-26,2022-11-10
58,Sports Discount Fest,Flash Sale,35,Expired,2022-01-28,2022-02-26
59,Diwali Exclusive,Clearance,25,Upcoming,2025-09-04,2025-09-07
60,Office Supplies Bonanza,Member Exclusive,40,Expired,2024-09-02,2024-09-25
61,Brand Promotion Home,Festival Sale,20,Expired,2024-10-09,2024-10-31
62,Category Discount Electronics,Member Exclusive,10,Expired,2023-09-01,2023-10-13
63,Back To School Beauty Sale,Festival Sale,35,Upcoming,2025-03-18,2025-03-27
64,Valentine Exclusive,Flash Sale,40,Expired,2022-05-26,2022-06-05
65,Christmas Exclusive,Seasonal Offer,40,Expired,2024-05-04,2024-05-27
66,Valentine Flash Sale,Limited Time,25,Upcoming,2025-03-20,2025-04-07
67,Republic Day Flash Sale,Brand Promotion,50,Expired,2022-11-19,2022-12-12
68,Cyber Monday Mega Offer,Limited Time,30,Expired,2023-04-30,2023-05-29
69,Category Discount Office Supplies,Seasonal Offer,35,Upcoming,2025-09-02,2025-10-01
70,Cyber Monday Super Saver,Clearance,30,Expired,2023-09-04,2023-09-07
71,Member Exclusive Beauty,Category Discount,40,Expired,2022-07-13,2022-08-12
72,Home Discount Fest,Seasonal Offer,15,Upcoming,2025-09-18,2025-10-20
73,Electronics Bonanza,Brand Promotion,5,Expired,2024-03-01,2024-04-15
74,Monsoon Super Saver,Category Discount,40,Expired,2022-06-01,2022-06-09
75,Weekend Sale Electronics,Category Discount,5,Expired,2024-08-24,2024-08-31
76,Seasonal Offer Furniture,Flash Sale,30,Expired,2023-08-11,2023-08-30
77,Diwali Flash Sale,Clearance,5,Expired,2021-08-10,2021-09-19
78,BOGO Office Supplies,Brand Promotion,20,Expired,2021-06-05,2021-07-15
79,Back To School Exclusive,BOGO,5,Expired,2024-08-19,2024-09-12
80,Weekend Sale Sports,Member Exclusive,25,Upcoming,2025-08-29,2025-09-06
81,Automotive Bonanza,Category Discount,30,Expired,2024-09-30,2024-10-27
82,Home Price Drop,Weekend Sale,25,Expired,2022-03-11,2022-04-05
83,Summer Sports Sale,Festival Sale,10,Expired,2023-11-25,2023-12-10
84,Cyber Monday Exclusive,Member Exclusive,40,Upcoming,2025-04-02,2025-04-20
85,Independence Day Flash Sale,Clearance,20,Expired,2022-03-30,2022-04-27
86,Festival Sale Fashion,Seasonal Offer,25,Upcoming,2025-02-21,2025-03-26
87,Brand Promotion Sports,Flash Sale,30,Expired,2022-08-30,2022-09-16
88,Electronics Discount Fest,Limited Time,5,Expired,2022-07-16,2022-07-21
89,Year End Flash Sale,Weekend Sale,40,Expired,2023-08-20,2023-09-22
90,Sports Bonanza,Festival Sale,10,Expired,2021-05-04,2021-06-15
91,Black Friday Mega Offer,Limited Time,15,Expired,2021-11-18,2021-12-06
92,Independence Day Automotive Sale,Member Exclusive,25,Expired,2022-04-20,2022-05-11
93,Year End Fashion Sale,Seasonal Offer,60,Expired,2021-12-06,2021-12-28
94,Electronics Weekend Deal,Brand Promotion,5,Expired,2024-05-21,2024-06-09
95,New Year Exclusive,Flash Sale,25,Expired,2024-08-27,2024-09-27
96,Home Weekend Deal,Flash Sale,10,Expired,2022-10-20,2022-12-04
97,Black Friday Office Supplies Sale,Clearance,30,Expired,2023-07-21,2023-07-29
98,Monsoon Automotive Sale,Flash Sale,50,Expired,2022-02-21,2022-03-13
99,New Year Flash Sale,BOGO,50,Expired,2024-02-03,2024-02-06
100,Independence Day Exclusive,Seasonal Offer,20,Expired,2021-10-24,2021-11-20
101,Summer Flash Sale,Member Exclusive,60,Upcoming,2025-09-12,2025-10-22
102,Black Friday Fashion Sale,Weekend Sale,60,Expired,2021-09-16,2021-10-21
103,Year End Mega Offer,Flash Sale,5,Expired,2023-12-14,2024-01-15
104,Holi Mega Offer,Member Exclusive,10,Expired,2023-06-08,2023-06-17
105,Valentine Sports Sale,Weekend Sale,25,Expired,2022-10-27,2022-11-02
106,Flash Sale Office Supplies,Flash Sale,60,Expired,2023-12-24,2024-01-22
107,Fashion Bonanza,Festival Sale,60,Upcoming,2025-11-19,2025-12-16
108,Independence Day Super Saver,Festival Sale,10,Upcoming,2025-10-14,2025-11-16
109,Summer Electronics Sale,Festival Sale,25,Expired,2024-05-26,2024-06-29
110,Festival Sale Home,Brand Promotion,15,Expired,2024-06-25,2024-07-14
111,Fashion Weekend Deal,Flash Sale,25,Expired,2023-12-24,2024-01-28
112,Automotive Weekend Deal,Brand Promotion,40,Upcoming,2025-07-06,2025-07-16
113,Monsoon Furniture Sale,Member Exclusive,10,Expired,2022-06-26,2022-08-02
114,Brand Promotion Furniture,BOGO,15,Upcoming,2025-12-23,2026-01-29
115,Clearance Office Supplies,Festival Sale,10,Expired,2021-09-08,2021-10-10
116,Seasonal Offer Fashion,Seasonal Offer,20,Expired,2021-05-21,2021-06-28
117,Valentine Mega Offer,Category Discount,15,Expired,2024-09-15,2024-09-19
118,New Year Fashion Sale,Brand Promotion,50,Expired,2021-09-17,2021-10-16
119,Limited Time Automotive,Clearance,50,Expired,2024-06-13,2024-06-18
120,Fashion Discount Fest,Limited Time,60,Expired,2022-07-18,2022-08-29
121,Republic Day Exclusive,Limited Time,50,Expired,2021-05-03,2021-06-12
122,Republic Day Mega Offer,BOGO,20,Upcoming,2025-03-09,2025-04-14
123,Automotive Discount Fest,Seasonal Offer,30,Expired,2023-01-28,2023-02-19
124,Category Discount Sports,Category Discount,5,Expired,2023-03-21,2023-05-01
125,Sports Weekend Deal,BOGO,40,Expired,2021-09-03,2021-09-06
126,Year End Electronics Sale,Seasonal Offer,30,Expired,2023-07-31,2023-08-07
127,Back To School Super Saver,Brand Promotion,50,Expired,2024-04-21,2024-05-19
128,Christmas Sports Sale,Clearance,10,Expired,2022-12-22,2023-01-26
129,Monsoon Mega Offer,BOGO,50,Expired,2024-06-13,2024-07-24
130,Category Discount Fashion,Limited Time,40,Active,2024-12-20,2025-01-20
131,Member Exclusive Home,Brand Promotion,15,Expired,2022-04-09,2022-04-20
132,Summer Exclusive,Weekend Sale,5,Upcoming,2025-09-07,2025-10-13
